mutation,replicate,PC1,PC2
A98G+F227C,3,1.9185674,-0.7848325
A98G+F227C,3,1.6073445,-0.17049025
A98G+F227C,3,2.9277139,-1.8743212
A98G+F227C,3,2.113121,-1.4097201
A98G+F227C,3,2.0137012,-0.5566295
A98G+F227C,3,1.3018363,-0.25128293
A98G+F227C,3,2.421042,-1.1130524
A98G+F227C,3,1.1732088,-0.071124755
A98G+F227C,3,1.9298334,-0.84147984
A98G+F227C,3,2.275776,0.46866027
A98G+F227C,3,0.6440583,-0.3632462
A98G+F227C,3,2.8640144,-1.74852
A98G+F227C,3,2.1591253,0.23824587
A98G+F227C,3,2.4915695,0.19480212
A98G+F227C,3,2.5240128,0.1506864
A98G+F227C,3,1.5318924,-1.8907963
A98G+F227C,3,1.8093251,-0.14650467
A98G+F227C,3,2.9458587,0.56553733
A98G+F227C,3,1.1919513,-0.88863283
A98G+F227C,3,0.40719008,-0.7556465
A98G+F227C,3,1.1239482,-1.0332066
A98G+F227C,3,2.1470616,-0.4297567
A98G+F227C,3,1.8566216,-0.193778
A98G+F227C,3,2.2996614,-1.8492352
A98G+F227C,3,0.83540857,0.91209626
A98G+F227C,3,2.6787064,-1.8122058
A98G+F227C,3,1.8666782,-2.09999
A98G+F227C,3,2.1241653,2.0919824
A98G+F227C,3,2.5232239,-1.2844994
A98G+F227C,3,2.0608747,-0.6694158
A98G+F227C,3,3.7089245,-2.2307496
A98G+F227C,3,1.4947551,-0.62233317
A98G+F227C,3,3.4873886,-1.5428303
A98G+F227C,3,3.6295435,-0.7393292
A98G+F227C,3,1.2898536,0.3732253
A98G+F227C,3,1.7591139,0.17249851
A98G+F227C,3,2.2162328,-1.7224724
A98G+F227C,3,1.8158232,-0.6867647
A98G+F227C,3,1.3850859,-0.9870361
A98G+F227C,3,2.438685,-2.2347448
A98G+F227C,3,3.2523,-1.4151802
A98G+F227C,3,2.5586789,-1.2188002
A98G+F227C,3,2.642741,-1.2953665
A98G+F227C,3,2.4942472,-0.6970482
A98G+F227C,3,2.6342473,-1.071771
A98G+F227C,3,3.2707305,-3.0660062
A98G+F227C,3,1.8778118,-3.2976437
A98G+F227C,3,1.713553,-0.18269548
A98G+F227C,3,1.1894912,-2.5409431
A98G+F227C,3,2.6497314,-3.274205
A98G+F227C,3,1.3055174,-0.9321203
A98G+F227C,3,3.6730838,-1.914268
A98G+F227C,3,1.8241117,-0.22706363
A98G+F227C,3,1.9231329,-0.7927199
A98G+F227C,3,2.3216674,-1.3664671
A98G+F227C,3,3.708626,-2.4635348
A98G+F227C,1,-3.0448163,-1.2210524
A98G+F227C,1,-2.4884675,-2.08111
A98G+F227C,1,-1.4573561,-0.5480263
A98G+F227C,1,-0.86880875,-1.8968163
A98G+F227C,1,-2.0400908,-2.4182527
A98G+F227C,1,-2.4624672,-3.2290637
A98G+F227C,1,-2.4430914,-2.00299
A98G+F227C,1,-1.4826853,-2.62606
A98G+F227C,1,-1.968346,-2.4420843
A98G+F227C,1,-2.2862864,-3.3113708
A98G+F227C,1,-1.623752,-2.3974304
A98G+F227C,1,-1.8391316,-1.0706656
A98G+F227C,1,-2.7002206,-0.8515418
A98G+F227C,1,-2.7992287,-0.9901685
A98G+F227C,1,-2.5918133,-1.652093
A98G+F227C,1,-2.912989,-2.0410333
A98G+F227C,1,-1.6156465,-1.495631
A98G+F227C,1,-3.5408573,-1.9243436
A98G+F227C,1,-2.5906653,-2.1939652
A98G+F227C,1,-0.8569569,-1.8749222
A98G+F227C,1,-1.2679394,-1.317792
A98G+F227C,1,-2.2194436,-2.1377773
A98G+F227C,1,-1.1918441,-1.5365578
A98G+F227C,1,-0.91498226,-1.6170095
A98G+F227C,1,-2.807215,-1.408099
A98G+F227C,1,-3.4198956,-2.4938827
A98G+F227C,1,-2.5084558,-2.5047061
A98G+F227C,1,-1.3366866,-1.9336053
A98G+F227C,1,-2.0612977,-1.8775964
A98G+F227C,1,-2.8946726,0.09778221
A98G+F227C,1,-3.0596905,-1.5943089
A98G+F227C,1,-1.277143,-1.6051342
A98G+F227C,1,-3.1489098,-0.80144405
A98G+F227C,1,-2.9305313,-0.9555749
A98G+F227C,1,-1.8653021,-2.0645638
A98G+F227C,1,-2.6343544,-1.0428894
A98G+F227C,1,-3.1658463,-1.2643434
A98G+F227C,1,-2.4659827,-1.7389078
A98G+F227C,1,-4.184786,0.10999139
A98G+F227C,1,-2.2112045,-2.2275882
A98G+F227C,1,-2.0142827,-0.6245743
A98G+F227C,1,-1.7930406,0.08096163
A98G+F227C,1,-3.405702,-1.3612103
A98G+F227C,1,-2.621885,-1.7324659
A98G+F227C,1,-3.1092026,0.8688091
A98G+F227C,1,-2.2366822,-2.3701043
A98G+F227C,1,-2.3212214,-0.9516582
A98G+F227C,1,-3.0721865,-0.21403693
A98G+F227C,1,-2.4946618,-1.1379845
A98G+F227C,1,-1.4825208,-1.0440472
A98G+F227C,1,-3.899208,-1.204893
A98G+F227C,1,-3.3818097,-2.006619
A98G+F227C,1,-2.0761948,-2.113313
A98G+F227C,1,-2.195595,-2.4510646
A98G+F227C,1,-0.37141746,-1.4889724
A98G+F227C,1,-2.0069225,-0.8385258
A98G+F227C,1,-1.6908143,-0.4607341
A98G+F227C,1,-2.5105064,-0.78136516
A98G+F227C,1,-1.1712515,-1.6695188
A98G+F227C,1,-1.6515424,-1.1384968
A98G+F227C,1,-2.6509054,-2.8126295
A98G+F227C,1,-1.1665434,-0.6917385
A98G+F227C,1,-1.1091985,-1.9904706
A98G+F227C,1,-3.1214666,-2.9783523
A98G+F227C,1,-1.8619326,-0.052916802
A98G+F227C,1,-2.4481647,-0.89980775
A98G+F227C,1,-2.4166107,-0.33100796
A98G+F227C,1,-1.313045,-0.015396428
A98G+F227C,1,-0.9306409,-2.124607
A98G+F227C,1,-1.9523505,-1.3091993
A98G+F227C,1,-1.8407518,-0.62557226
A98G+F227C,1,-2.5552845,-1.3671902
A98G+F227C,1,-1.1625541,-1.3898655
A98G+F227C,1,-1.2158113,-0.082374476
A98G+F227C,1,-2.6862516,-2.6805434
A98G+F227C,1,-0.86362875,-1.9940165
A98G+F227C,1,-2.9489148,-2.023701
A98G+F227C,1,-1.9150338,-2.4863498
A98G+F227C,1,-3.147755,-2.094826
A98G+F227C,1,-2.497998,-1.5674912
A98G+F227C,2,8.429361,-3.297319
A98G+F227C,2,10.434558,-3.8497097
A98G+F227C,2,8.016703,-4.067177
A98G+F227C,2,7.906465,-2.316909
A98G+F227C,2,8.776592,-4.0121775
A98G+F227C,2,9.014551,-2.2635593
A98G+F227C,2,8.20932,-3.2994733
A98G+F227C,2,9.594905,-0.8429719
A98G+F227C,2,7.791861,-2.7073028
A98G+F227C,2,9.292129,-1.4565029
A98G+F227C,2,8.872225,-1.9203165
A98G+F227C,2,7.9635787,-2.5425408
A98G+F227C,2,9.494031,-2.1697798
A98G+F227C,2,6.9017186,-1.6932743
A98G+F227C,2,8.739648,-2.3991075
A98G+F227C,2,10.653136,-4.5765977
A98G+F227C,2,10.146411,-3.6671994
A98G+F227C,2,8.537286,-4.0786858
A98G+F227C,2,9.121192,-3.3977578
A98G+F227C,2,8.773477,-3.210866
A98G+F227C,2,10.189781,-2.2204797
A98G+F227C,2,9.221224,-4.073551
A98G+F227C,2,9.905426,-2.8959622
A98G+F227C,2,8.258762,-3.1768389
A98G+F227C,2,8.634583,-3.763809
A98G+F227C,2,8.978133,-2.1527684
A98G+F227C,2,9.983123,-1.1336806
A98G+F227C,2,10.361903,-4.0935836
A98G+F227C,2,9.35948,-1.0776743
A98G+F227C,2,8.11717,-2.4693162
A98G+F227C,2,9.118198,-2.5326715
A98G+F227C,2,10.096378,-2.8098452
A98G+F227C,2,9.103912,-3.9644568
A98G+F227C,2,9.512316,-0.39280865
A98G+F227C,2,9.431664,-2.7156298
A98G+F227C,2,7.81662,-3.0615368
A98G+F227C,2,9.194033,-2.2333646
A98G+F227C,2,8.528825,-3.547132
A98G+F227C,2,8.95998,-3.9717946
A98G+F227C,2,10.643205,-2.6727777
A98G+F227C,2,9.54089,-2.8127666
A98G+F227C,2,7.9393163,-1.0438329
A98G+F227C,2,9.136209,-1.6814966
A98G+F227C,2,7.8451414,-0.57429916
A98G+F227C,2,8.700986,-2.6292331
A98G+F227C,2,9.988884,-3.1135223
A98G+F227C,2,9.231714,-3.9559865
A98G+F227C,2,9.625705,-3.6901486
A98G+F227C,2,10.159644,-4.3732142
A98G+F227C,2,9.786868,-2.143445
A98G+F227C,2,8.094142,-1.7835317
A98G+F227C,2,7.2993155,-3.2075553
A98G+F227C,2,8.024284,-2.4297364
A98G+F227C,2,6.762088,-1.7958357
A98G+F227C,2,8.678242,-2.3424244
A98G+F227C,2,9.782781,-2.244576
A98G+F227C,2,9.43524,-0.9268528
A98G+F227C,2,8.216852,-1.4541188
A98G+F227C,2,8.581841,-1.6414884
A98G+F227C,2,10.106346,-0.60044676
A98G+F227C,2,6.549731,-2.122392
A98G+F227C,2,8.938188,-1.9396377
A98G+F227C,2,10.024076,-2.4681258
A98G+F227C,2,9.353254,-2.5667212
A98G+F227C,2,9.580998,-2.6905987
A98G+F227C,2,9.874519,-1.6395456
A98G+F227C,2,8.704382,-3.1463695
A98G+F227C,2,7.9745445,-2.3894727
A98G+F227C,2,10.206262,-1.1929023
A98G+F227C,2,9.025236,-2.1114297
A98G+F227C,2,9.461833,-3.3191473
A98G+F227C,2,9.700747,-3.4363637
A98G+F227C,2,8.445329,-2.5752387
A98G+F227C,2,9.1091175,-2.9944172
A98G+F227C,2,10.406184,-3.8749435
A98G+F227C,2,8.113375,-2.5049756
A98G+F227C,2,11.3952055,-2.1368563
A98G+F227C,2,9.6174755,-2.085362
A98G+F227C,2,10.293498,-4.5580664
A98G+F227C,2,9.341157,-5.2303195
F227C,2,2.6356106,-1.6604456
F227C,2,3.6958885,0.21850199
F227C,2,1.34668,-0.12799858
F227C,2,1.7537426,-0.37182754
F227C,2,3.0754077,-2.1504245
F227C,2,2.582078,-3.764227
F227C,2,1.1822624,-1.3989015
F227C,2,-0.8150459,-1.4955293
F227C,2,2.0539658,0.763288
F227C,2,-0.6006266,0.5232131
F227C,2,0.9050352,-0.80643386
F227C,2,1.7203264,-0.97491115
F227C,2,-0.12181483,-0.12544207
F227C,2,0.8588748,-1.3299087
F227C,2,0.20072414,-0.21187009
F227C,2,-0.029007772,-1.2774597
F227C,2,0.91980785,-2.2294886
F227C,2,0.3519357,0.7697786
F227C,2,0.8648821,-1.3170927
F227C,2,0.37002295,-1.6263344
F227C,2,2.3220227,-2.701092
F227C,2,2.3884728,-2.094021
F227C,2,0.99393797,-1.9736207
F227C,2,1.2140169,-0.89905053
F227C,2,0.7446018,-2.3066664
F227C,2,-0.7613791,0.28617418
F227C,2,2.3386793,1.0406086
F227C,2,0.80001837,1.7394166
F227C,2,1.982678,0.9858744
F227C,2,0.40981072,-1.1869091
F227C,2,1.9912955,0.72194946
F227C,2,1.9160228,-1.9398402
F227C,2,2.3306854,-0.2093196
F227C,2,4.053149,0.04790369
F227C,2,0.43381342,-2.5218253
F227C,2,3.9167361,0.5193188
F227C,2,1.0237836,-1.8105348
F227C,2,1.2803483,-3.530613
F227C,2,0.9845417,-2.333287
F227C,2,0.9341634,-1.4131238
F227C,2,0.58843756,-1.2001503
F227C,2,1.0622416,-0.15838084
F227C,2,2.8087149,-0.26674414
F227C,2,0.73329914,-0.90699965
F227C,2,0.24688177,0.00095168944
F227C,2,1.2686105,-0.8902558
F227C,2,0.81083536,-1.205168
F227C,2,2.1409576,-1.6946261
F227C,2,1.752987,-0.051221
F227C,2,1.8846396,-0.006270344
F227C,2,1.8872433,-0.8309638
F227C,2,0.59866565,-0.69676363
F227C,2,1.1511335,-0.11040213
F227C,2,1.6482494,-1.3485866
F227C,2,1.7733113,-1.7525469
F227C,2,-0.19918868,0.85877234
F227C,2,2.0709507,-0.39261383
F227C,2,1.4493392,0.23065415
F227C,2,1.7649267,0.010770537
F227C,2,2.4260967,-1.376914
F227C,2,1.7699802,-0.33862904
F227C,2,2.1211658,-0.9335155
F227C,2,1.7968792,-0.6807343
F227C,2,2.1826189,-0.95132214
F227C,2,0.7784626,-0.6181511
F227C,2,0.9245454,-1.1431931
F227C,2,2.2174392,-0.19024019
F227C,2,0.9913555,-0.51083004
F227C,2,0.84382015,0.11329961
F227C,2,1.6139627,-3.128262
F227C,2,1.3363893,-0.05024461
F227C,2,0.7370509,2.787107
F227C,2,1.5740371,-0.56891406
F227C,2,1.0263045,-0.17009564
F227C,2,1.7562002,-0.8616194
F227C,2,2.048869,-1.506748
F227C,2,1.0096675,-1.8731447
F227C,2,0.9107982,-1.4339705
F227C,2,0.87555087,-0.77949524
F227C,2,0.5165362,0.28273258
F227C,3,1.2955655,-0.7374649
F227C,3,1.8170407,-0.9650427
F227C,3,3.0762515,-3.810259
F227C,3,3.7576537,-3.2247517
F227C,3,3.9837718,-3.0869663
F227C,3,5.0497727,-2.5377529
F227C,3,2.360629,-1.5253747
F227C,3,2.3817031,-1.0752666
F227C,3,2.6614943,-1.8586475
F227C,3,3.387614,-1.8918514
F227C,3,2.4860916,-1.8316911
F227C,3,1.8888098,-3.2079945
F227C,3,2.6684222,-2.4683304
F227C,3,2.6747499,-3.8154867
F227C,3,2.4928973,-2.0759044
F227C,3,3.7609377,-2.8545034
F227C,3,2.7774622,-0.75418425
F227C,3,3.360721,-3.526309
F227C,3,3.719591,-3.651507
F227C,3,2.9149632,-1.7364805
F227C,3,2.8648984,-3.5944366
F227C,3,2.7893426,-1.9935211
F227C,3,1.3966316,-2.6010387
F227C,3,1.5923588,-3.8670616
F227C,3,3.6530333,-1.5732808
F227C,3,2.0243907,-2.5762415
F227C,3,2.288047,-2.554297
F227C,3,2.8972204,-2.4300888
F227C,3,2.8839622,-1.2905208
F227C,3,3.0042748,-0.63381016
F227C,3,3.9300056,-0.944533
F227C,3,2.6787353,-1.8330327
F227C,3,2.9479668,-2.2693815
F227C,3,1.696168,-1.1063616
F227C,3,1.8000582,0.59664994
F227C,3,2.4278698,-1.8531717
F227C,3,3.4231322,-1.6133842
F227C,3,3.9324121,-2.8152444
F227C,3,2.5185516,-2.6055498
F227C,3,3.4892685,-1.0194094
F227C,3,1.2143598,-0.8982921
F227C,3,1.7931627,-1.7730347
F227C,3,2.9219713,-1.925491
F227C,3,1.9116902,-1.9699217
F227C,3,2.5094442,-3.1649523
F227C,3,3.0747206,-1.3154039
F227C,3,2.9275482,-2.2787716
F227C,3,2.7197556,-0.7921705
F227C,3,2.9682047,-0.104144655
F227C,3,2.9335139,-0.90803653
F227C,3,3.2967162,-1.488009
F227C,3,3.0189178,0.3029577
F227C,3,2.6625621,-1.9475182
F227C,3,2.3342595,-1.3726952
F227C,3,2.7740047,-2.1261823
F227C,3,3.0656707,-0.72039056
F227C,3,2.9100997,-1.5722286
F227C,3,3.5184443,-1.1167262
F227C,3,3.1040046,0.37863192
F227C,3,2.7589633,-0.8425291
F227C,3,3.0106993,0.56460255
F227C,3,2.3598335,-1.9058396
F227C,3,2.3506427,-0.6177744
F227C,3,2.0492768,-0.49003163
F227C,3,2.8001683,-2.6429455
F227C,3,4.1598363,-2.1036267
F227C,3,1.6764824,-0.66914696
F227C,3,2.5925186,-3.2316048
F227C,3,1.0755223,-1.3237802
F227C,3,2.3637512,-2.6148903
F227C,3,3.2647538,-2.3353233
F227C,3,3.2536745,-0.63921785
F227C,3,3.6081147,-1.1017449
F227C,3,2.841415,-1.9029858
F227C,3,2.5624282,-2.5534265
F227C,3,3.8195727,-1.1827176
F227C,3,3.6299608,-0.9676392
F227C,3,4.705656,-1.5328639
F227C,3,4.0784225,-4.383812
F227C,3,3.40345,-1.4631978
G190A,1,5.87029,0.44727737
G190A,1,5.3053846,-1.7172588
G190A,1,5.53394,-1.935139
G190A,1,5.727155,0.35609993
G190A,1,3.00342,0.96294945
G190A,1,3.7633924,0.7838326
G190A,1,4.213699,-0.8513339
G190A,1,6.0753937,-0.71193326
G190A,1,5.070691,-0.9901804
G190A,1,5.0595384,-1.8609124
G190A,1,5.2432685,-1.4022281
G190A,1,5.0605936,-1.8424168
G190A,1,5.5737147,-1.9646286
G190A,1,5.3130994,-0.0039062344
G190A,1,4.719061,-0.74380076
G190A,1,5.2374988,0.40755928
G190A,1,5.1978855,-2.090386
G190A,1,5.2451143,-1.351878
G190A,1,4.05142,-0.48015764
G190A,1,5.9558883,-0.5031759
G190A,1,5.0254908,-1.8188567
G190A,1,5.049011,0.16886379
G190A,1,5.767818,-1.6603938
G190A,1,7.6424274,-0.6586723
G190A,1,6.2266994,-0.80556774
G190A,1,5.2970586,-1.268996
G190A,1,5.174681,-0.42287922
G190A,1,4.294883,0.174783
G190A,1,4.6513667,-1.4232384
G190A,1,4.92745,0.118459694
G190A,1,4.4761,-1.1338277
G190A,1,6.1767125,-0.57273114
G190A,1,5.7849874,-0.811865
G190A,1,4.2126174,1.0054218
G190A,1,4.7914534,-0.93612814
G190A,1,4.877583,0.8612416
G190A,1,4.2235475,-0.10644983
G190A,1,4.8582067,-0.34922388
G190A,1,5.9645686,-0.90779775
G190A,1,5.07985,-0.7021832
G190A,1,6.557381,-0.6208214
G190A,1,5.632557,-0.22941534
G190A,1,6.538743,0.09737521
G190A,1,4.7799115,0.29999912
G190A,1,3.122931,1.1742548
G190A,1,4.6913404,-1.2667772
G190A,1,5.7674174,-1.1453172
G190A,1,6.076755,-1.7171946
G190A,1,5.721921,-1.1035864
G190A,1,5.462676,-1.4812576
G190A,1,4.363652,-0.8477602
G190A,1,5.1621614,0.76601535
G190A,1,1.5705049,0.9629332
G190A,1,5.4291515,-0.199747
G190A,1,4.7759233,0.20647115
G190A,1,6.127471,1.2215165
G190A,1,4.456965,0.36534125
G190A,1,4.971356,-0.04146449
G190A,1,3.3667397,1.6869898
G190A,1,4.676523,0.35647038
G190A,1,4.9377484,0.08309977
G190A,1,4.303965,1.1333448
G190A,1,4.5230494,1.7455765
G190A,1,3.6393452,1.8964807
G190A,1,4.67078,0.32243508
G190A,1,6.4732575,-0.49874732
G190A,1,5.26992,-1.7981747
G190A,1,5.5408773,0.4733158
G190A,1,4.6512995,0.67174256
G190A,1,6.4966316,-0.8279656
G190A,1,5.1464744,0.990743
G190A,1,5.64848,1.137215
G190A,1,4.8031445,1.4565048
G190A,1,5.620654,-2.10473
G190A,1,6.3091483,-0.77376986
G190A,1,5.4520545,-0.71445656
G190A,1,4.6208105,-0.77630603
G190A,1,5.550715,-0.6904269
G190A,1,4.7238264,2.4451244
G190A,1,4.7510056,1.0773077
G190A,2,1.9857854,-1.1741161
G190A,2,1.7600768,-0.6011767
G190A,2,1.7390007,-2.3402069
G190A,2,2.9073021,-1.3631886
G190A,2,1.050391,0.29628593
G190A,2,2.9093602,-3.391699
G190A,2,1.2947496,-2.7367978
G190A,2,2.766343,-1.8105727
G190A,2,2.6988962,-2.030033
G190A,2,2.0937855,-2.0791063
G190A,2,2.526092,-1.8513061
G190A,2,2.6136253,-1.159056
G190A,2,2.4520998,-2.2608752
G190A,2,2.650505,-2.3565283
G190A,2,3.7040732,-2.0872984
G190A,2,1.8043754,-2.6447203
G190A,2,1.28334,0.25117546
G190A,2,2.7846375,-1.6863312
G190A,2,2.1333091,-4.2133284
G190A,2,3.1237364,-1.2421938
G190A,2,1.4300526,-0.006375598
G190A,2,2.7153862,-3.2899733
G190A,2,1.9919722,-2.280701
G190A,2,2.2883368,-1.5659299
G190A,2,1.9129426,-2.2008414
G190A,2,1.3430197,-1.5793544
G190A,2,1.935195,-1.7646399
G190A,2,3.2517679,-1.9263831
G190A,2,2.6897597,-0.9285414
G190A,2,1.7222825,-2.730387
G190A,2,0.6901252,-1.2156341
G190A,2,2.62386,-3.02616
G190A,2,3.321061,-1.2469217
G190A,2,1.6858476,-2.224399
G190A,2,2.1037748,-1.8723259
G190A,2,2.385277,-0.7071715
G190A,2,2.830154,-1.6820855
G190A,2,4.0060754,-2.1391926
G190A,2,4.3241014,-0.09270276
G190A,2,1.0444653,-0.38708127
G190A,2,2.8995476,-1.6949636
G190A,2,2.743033,0.94469184
G190A,2,1.3272741,-0.42636085
G190A,2,2.0030687,-2.230473
G190A,2,1.4326031,-1.1407188
G190A,2,2.4959078,-1.8431128
G190A,2,2.3055248,-1.5378338
G190A,2,1.435585,-1.0483598
G190A,2,2.8020694,-3.2834008
G190A,2,2.6121883,-2.1094196
G190A,2,2.3342247,-1.6828667
G190A,2,3.263573,-2.8611584
G190A,2,1.7540747,-0.05355078
G190A,2,1.8260131,-2.668509
G190A,2,2.1501622,-1.2127604
G190A,2,2.1357622,-1.7192153
G190A,2,2.2205062,-1.8487418
G190A,2,1.6412987,-1.5398302
G190A,2,2.0440006,-1.6332401
G190A,2,2.5651371,-2.4817336
G190A,2,3.252233,-2.833413
G190A,2,1.7987036,-1.4491589
G190A,2,2.8655806,-1.4248761
G190A,2,1.8382249,-2.8563066
G190A,2,2.6503434,-2.4763064
G190A,2,3.0312448,-2.7067251
G190A,2,2.1068473,-2.378993
G190A,2,2.4621055,-2.2079246
G190A,2,2.5392504,-1.014862
G190A,2,2.4079003,-1.6803297
G190A,2,2.4453626,-2.1922052
G190A,2,2.8689787,-2.619051
G190A,2,2.898397,-3.081871
G190A,2,1.7166363,-1.0581685
G190A,2,4.0807166,-1.5565419
G190A,2,2.3664253,-0.69700515
G190A,2,1.6402622,-1.801785
G190A,2,2.7655275,-3.029872
G190A,2,3.7863388,-2.1128154
G190A,2,3.804975,-1.3876635
G190A,3,-6.2932034,-0.93641025
G190A,3,-7.5304875,-0.6076369
G190A,3,-7.98618,-1.3889388
G190A,3,-7.4210525,-1.3442514
G190A,3,-6.899709,-1.8229688
G190A,3,-6.9338055,-0.056642517
G190A,3,-7.233738,0.63239956
G190A,3,-7.1994786,-1.2545805
G190A,3,-7.346965,-1.0923039
G190A,3,-8.283276,-1.224975
G190A,3,-6.9874325,-2.0429416
G190A,3,-7.654684,-2.5180554
G190A,3,-6.716756,-1.2277921
G190A,3,-6.706691,-0.49045777
G190A,3,-8.379288,-1.6248575
G190A,3,-6.8332167,-0.7806466
G190A,3,-5.891467,-1.2814423
G190A,3,-6.4002895,-0.25359088
G190A,3,-5.9759917,-2.4362295
G190A,3,-7.773204,-0.71050465
G190A,3,-6.1054983,-2.165635
G190A,3,-6.861117,-1.6026713
G190A,3,-5.8013325,-2.080182
G190A,3,-6.7094235,-2.1229408
G190A,3,-7.0073,-2.504596
G190A,3,-6.795493,-0.86950713
G190A,3,-7.075894,-2.7523608
G190A,3,-6.3325925,-1.2941025
G190A,3,-5.5186167,-1.672966
G190A,3,-6.8578467,-2.0171685
G190A,3,-6.5446153,-0.591144
G190A,3,-6.4369793,-4.7217817
G190A,3,-6.6239877,-0.69949037
G190A,3,-4.3264384,-0.50778174
G190A,3,-5.9633813,-2.074194
G190A,3,-4.867965,-1.7694697
G190A,3,-6.0567775,-0.24115683
G190A,3,-7.5330334,-1.8746529
G190A,3,-5.475401,-3.2111807
G190A,3,-8.022156,-0.6310378
G190A,3,-6.1852193,-1.2500733
G190A,3,-5.875799,-1.5362766
G190A,3,-5.7864275,-1.3265531
G190A,3,-5.465458,-0.9669083
G190A,3,-5.259213,-0.21003671
G190A,3,-6.0009947,-1.8141148
G190A,3,-6.286148,-1.9727861
G190A,3,-5.955977,-1.0662911
G190A,3,-5.2229753,-1.2431955
G190A,3,-5.9823685,-2.120561
G190A,3,-6.986097,-2.0228455
G190A,3,-5.208107,-0.7686108
G190A,3,-6.0407343,-0.076638825
G190A,3,-6.750465,-1.350863
G190A,3,-5.8688393,-1.6969359
G190A,3,-5.7880225,-0.2210146
G190A,3,-5.616671,-0.787579
