lambda,holo_Wf_mean,holo_G_fwd,holo_dissipation,apo_Wf_mean,apo_G_fwd,apo_dissipation
2.000000000000000111e-01,4.125599817772683586e+00,3.427914269936690683e+00,6.976855478359929030e-01,3.828597901246111324e+00,2.964901212193784108e+00,8.636966890523272156e-01
2.099999999999999922e-01,4.042167554351528302e+00,3.280148676071206637e+00,7.620188782803216654e-01,3.729652342509100382e+00,2.799761354620146303e+00,9.298909878889540792e-01
2.200000000000000011e-01,3.925127792745349620e+00,3.098420179412851638e+00,8.267076133324979814e-01,3.598154785032894765e+00,2.606108819810013966e+00,9.920459652228807990e-01
2.300000000000000100e-01,3.781155529024747608e+00,2.878845908909306139e+00,9.023096201154414686e-01,3.434012981753681526e+00,2.377427278295807689e+00,1.056585703457873837e+00
2.399999999999999911e-01,3.611323469537334407e+00,2.624067759263562838e+00,9.872557102737715695e-01,3.248511749981950913e+00,2.139485124147411099e+00,1.109026625834539814e+00
2.500000000000000000e-01,3.413714051066675470e+00,2.362699049505192050e+00,1.051015001561483420e+00,3.041361596872288242e+00,1.874689188385069594e+00,1.166672408487218648e+00
2.600000000000000089e-01,3.187219519893055519e+00,2.074814708348186709e+00,1.112404811544868810e+00,2.805716845652591829e+00,1.586042056463484728e+00,1.219674789189107100e+00
2.700000000000000178e-01,2.930693101604831874e+00,1.755966204570352351e+00,1.174726897034479522e+00,2.542851126038572662e+00,1.270136050487307378e+00,1.272715075551265285e+00
2.800000000000000266e-01,2.647725282887551490e+00,1.376713846749525461e+00,1.271011436138026029e+00,2.256717747006453223e+00,9.342276336448314122e-01,1.322490113361621811e+00
2.899999999999999800e-01,2.339326691396403923e+00,1.025182959305409813e+00,1.314143732090994110e+00,1.947984310478509062e+00,5.925233787989504508e-01,1.355460931679558723e+00
2.999999999999999889e-01,2.012290250764849020e+00,6.215128230082770378e-01,1.390777427756571871e+00,1.612980904422249173e+00,2.319805872943433711e-01,1.381000317127905719e+00
3.099999999999999978e-01,1.659471922345756134e+00,1.736085228703890815e-01,1.485863399475367164e+00,1.258943547694709730e+00,-1.423659634528843809e-01,1.401309511147594167e+00
3.200000000000000067e-01,1.283006527522078333e+00,-2.555852016504158164e-01,1.538591729172494205e+00,8.817565207585139619e-01,-5.456652026931321231e-01,1.427421723451645974e+00
3.300000000000000155e-01,8.879421759854912999e-01,-7.231959925326220118e-01,1.611138168518113201e+00,4.803720247075849992e-01,-9.737110910715333079e-01,1.454083115779118307e+00
3.400000000000000244e-01,4.691888630843732977e-01,-1.167844837346740494e+00,1.637033700431113736e+00,5.423549303028007279e-02,-1.432366501100082123e+00,1.486601994130362092e+00
3.500000000000000333e-01,2.403798659045696534e-02,-1.708810645685669760e+00,1.732848632276126732e+00,-3.917357086153131496e-01,-1.935974547024503334e+00,1.544238838409190073e+00
3.599999999999999867e-01,-4.465504644189893790e-01,-2.300407435505024356e+00,1.853856971086035088e+00,-8.640966773259337597e-01,-2.457456220983113671e+00,1.593359543657179911e+00
3.699999999999999956e-01,-9.365346261570625108e-01,-2.852224298261673230e+00,1.915689672104610608e+00,-1.358480374690357761e+00,-2.994434464798081841e+00,1.635954090107724079e+00
3.800000000000000044e-01,-1.451857183398168383e+00,-3.405490462353258252e+00,1.953633278955089869e+00,-1.873820006476446531e+00,-3.540285567606192174e+00,1.666465561129745643e+00
3.900000000000000133e-01,-1.992842415786178378e+00,-4.036613125648020883e+00,2.043770709861842505e+00,-2.410024493029283121e+00,-4.117072959273232691e+00,1.707048466243949569e+00
4.000000000000000222e-01,-2.555860389163349566e+00,-4.692836720990041677e+00,2.136976331826692110e+00,-2.970745015951120838e+00,-4.713402671605938288e+00,1.742657655654817450e+00
4.100000000000000311e-01,-3.137438405498953919e+00,-5.305051257022570965e+00,2.167612851523617046e+00,-3.544524283527809239e+00,-5.311112023300635698e+00,1.766587739772826460e+00
4.199999999999999845e-01,-3.740874416948129166e+00,-6.006213041272988384e+00,2.265338624324859218e+00,-4.147095545258018490e+00,-5.931427343327986712e+00,1.784331798069968222e+00
4.299999999999999933e-01,-4.362898140050476492e+00,-6.687509680730247652e+00,2.324611540679771160e+00,-4.769346250461405035e+00,-6.602868007350431334e+00,1.833521756889026300e+00
4.400000000000000022e-01,-5.007611447941982874e+00,-7.424908541078979241e+00,2.417297093136996367e+00,-5.418983531905638529e+00,-7.290188574955625000e+00,1.871205043049986472e+00
4.500000000000000111e-01,-5.669991488419904968e+00,-8.251190157864069619e+00,2.581198669444164651e+00,-6.085520398470140258e+00,-7.969773219290435584e+00,1.884252820820295327e+00
4.600000000000000200e-01,-6.353570883097874322e+00,-9.064374682992822230e+00,2.710803799894947907e+00,-6.770128999203985032e+00,-8.660243059448658798e+00,1.890114060244673766e+00
4.700000000000000289e-01,-7.059674895503778025e+00,-9.845810197560966870e+00,2.786135302057188845e+00,-7.475989306001222801e+00,-9.383388152441986207e+00,1.907398846440763407e+00
4.799999999999999822e-01,-7.786150535581898957e+00,-1.064363900710915267e+01,2.857488471527253715e+00,-8.200391345460635861e+00,-1.013924013272938929e+01,1.938848787268753426e+00
4.899999999999999911e-01,-8.531028323565497118e+00,-1.140018382083971638e+01,2.869155497274219258e+00,-8.945174506714522522e+00,-1.091723784218841686e+01,1.972063335473894341e+00
5.000000000000000000e-01,-9.295592846032727508e+00,-1.222084035033603122e+01,2.925247504303303714e+00,-9.712044201497565865e+00,-1.172434369012900035e+01,2.012299488631434485e+00
5.100000000000000089e-01,-1.007727864463697642e+01,-1.302763713709031634e+01,2.950358492453339920e+00,-1.049808636676451812e+01,-1.255110567389087173e+01,2.053019307126353610e+00
5.200000000000000178e-01,-1.087664851356130136e+01,-1.394464508424347038e+01,3.067996570682169022e+00,-1.129776589637190121e+01,-1.339212724215888173e+01,2.094361345786980522e+00
5.300000000000000266e-01,-1.169158283154783540e+01,-1.490781210346541918e+01,3.216229271917583787e+00,-1.211675144836753049e+01,-1.426157218801791160e+01,2.144820739650381114e+00
5.400000000000000355e-01,-1.252761627331605254e+01,-1.579559737172145084e+01,3.267981098405398299e+00,-1.295811869587220144e+01,-1.516962622706016361e+01,2.211507531187962172e+00
5.500000000000000444e-01,-1.338539097828661184e+01,-1.681731029895350460e+01,3.431919320666892759e+00,-1.381128245103385410e+01,-1.608981428342513809e+01,2.278531832391283984e+00
5.600000000000000533e-01,-1.425731399835760094e+01,-1.777004991826301605e+01,3.512735919905415116e+00,-1.469087873500646246e+01,-1.701514437683470859e+01,2.324265641828246132e+00
5.700000000000000622e-01,-1.514536713255454714e+01,-1.873805623719136548e+01,3.592689104636818342e+00,-1.558606300739021755e+01,-1.796829592997233860e+01,2.382232922582121049e+00
5.799999999999999600e-01,-1.605920801243860652e+01,-1.971532035267065908e+01,3.656112340232052560e+00,-1.649605458626551169e+01,-1.895310610053036626e+01,2.457051514264854575e+00
5.899999999999999689e-01,-1.699215136087830302e+01,-2.068391356495333966e+01,3.691762204075036635e+00,-1.742246282714205208e+01,-1.991596575567058736e+01,2.493502928528535278e+00
5.999999999999999778e-01,-1.793700948230349468e+01,-2.162871551466744080e+01,3.691706032363946122e+00,-1.837215884401153687e+01,-2.090947049346575426e+01,2.537311649454217388e+00
6.099999999999999867e-01,-1.889242083725791588e+01,-2.259963266975860918e+01,3.707211832500693305e+00,-1.933570550912266839e+01,-2.194108038773018521e+01,2.605374878607516820e+00
6.199999999999999956e-01,-1.987388210839568714e+01,-2.352158108281617643e+01,3.647698974420489293e+00,-2.031895746710101136e+01,-2.299714729069401642e+01,2.678189823593005059e+00
6.300000000000000044e-01,-2.086860237799782070e+01,-2.445262022290300408e+01,3.584017844905183381e+00,-2.131769700819630486e+01,-2.401662916336769982e+01,2.698932155171394953e+00
6.400000000000000133e-01,-2.187824411574551320e+01,-2.544972962865087851e+01,3.571485512905365312e+00,-2.233347536784015475e+01,-2.507554731494176892e+01,2.742071947101614171e+00
6.500000000000000222e-01,-2.290437966170966178e+01,-2.654244078324531486e+01,3.638061121535653086e+00,-2.336605467987236295e+01,-2.616256382422154303e+01,2.796509144349180076e+00
6.600000000000000311e-01,-2.394831165397981820e+01,-2.758591647306991845e+01,3.637604819090100250e+00,-2.441205866140484559e+01,-2.723333747237082036e+01,2.821278810965974770e+00
6.700000000000000400e-01,-2.500226368344250716e+01,-2.869242008732614124e+01,3.690156403883634084e+00,-2.547262518140949084e+01,-2.827654606193313569e+01,2.803920880523644854e+00
6.800000000000000488e-01,-2.607753685246435893e+01,-2.979581886169327376e+01,3.718282009228914831e+00,-2.655054222939395814e+01,-2.934857668434870703e+01,2.798034454954748895e+00
6.900000000000000577e-01,-2.716712417410933611e+01,-3.091062943148104125e+01,3.743505257371705142e+00,-2.764788059111344865e+01,-3.050334756253594648e+01,2.855466971422497835e+00
7.000000000000000666e-01,-2.827454984861492804e+01,-3.205503620990397451e+01,3.780486361289046471e+00,-2.875915112556955222e+01,-3.163681463403361604e+01,2.877663508464063824e+00
7.099999999999999645e-01,-2.939597632814736627e+01,-3.318656517027062591e+01,3.790588842123259639e+00,-2.988944380353168384e+01,-3.278169826493763139e+01,2.892254461405947552e+00
7.199999999999999734e-01,-3.053021672100539163e+01,-3.429118870403006980e+01,3.760971983024678167e+00,-3.103418099376323980e+01,-3.394773644278264157e+01,2.913555449019401777e+00
7.299999999999999822e-01,-3.168107672264520502e+01,-3.541820176946551868e+01,3.737125046820313656e+00,-3.219184876340849399e+01,-3.510875047213265532e+01,2.916901708724161324e+00
7.399999999999999911e-01,-3.285170364735155601e+01,-3.652425763599007524e+01,3.672553988638519229e+00,-3.336376292593474346e+01,-3.630710575429301201e+01,2.943342828358268548e+00
7.500000000000000000e-01,-3.403471320308244685e+01,-3.763801382368835391e+01,3.603300620605907056e+00,-3.455951974029893137e+01,-3.754573461215756680e+01,2.986214871858635433e+00
7.600000000000000089e-01,-3.522694578174169067e+01,-3.877227736171955286e+01,3.545331579977862191e+00,-3.577800449395209625e+01,-3.880603208478074606e+01,3.028027590828649807e+00
7.700000000000000178e-01,-3.643284219970725957e+01,-3.991550862502927544e+01,3.482666425322015868e+00,-3.701066252439049009e+01,-4.009075647023044553e+01,3.080093945839955438e+00
7.800000000000000266e-01,-3.765631169131289369e+01,-4.103822213158248644e+01,3.381910440269592755e+00,-3.825380683587452069e+01,-4.133352428298163517e+01,3.079717447107114481e+00
7.900000000000000355e-01,-3.889487916530206491e+01,-4.220646459671425532e+01,3.311585431412190417e+00,-3.952125112290958242e+01,-4.255863639872314508e+01,3.037385275813562657e+00
8.000000000000000444e-01,-4.014753630387629357e+01,-4.346780058551425441e+01,3.320264281637960835e+00,-4.080608349589410011e+01,-4.389409647414873916e+01,3.088012978254639052e+00
8.100000000000000533e-01,-4.141592984490151252e+01,-4.473622892004360807e+01,3.320299075142095546e+00,-4.211288794295185056e+01,-4.531170799109353453e+01,3.198820048141683969e+00
8.200000000000000622e-01,-4.270014462342348338e+01,-4.607064339922798979e+01,3.370498775804506408e+00,-4.344321605737572867e+01,-4.669382604277647886e+01,3.250609985400750190e+00
8.300000000000000711e-01,-4.399717718798181210e+01,-4.740382286929864364e+01,3.406645681316831542e+00,-4.478741525679102864e+01,-4.810034041627395140e+01,3.312925159482922766e+00
8.399999999999999689e-01,-4.531270282239889013e+01,-4.868214488479623014e+01,3.369442062397340010e+00,-4.615673222821030919e+01,-4.952152335256165827e+01,3.364791124351349083e+00
8.499999999999999778e-01,-4.664167134349389698e+01,-4.999802518730509604e+01,3.356353843811199056e+00,-4.755606624550813422e+01,-5.105418483214387493e+01,3.498118586635740712e+00
8.599999999999999867e-01,-4.799751424938441602e+01,-5.135203357149760706e+01,3.354519322113191038e+00,-4.898706856800326648e+01,-5.254682816160740799e+01,3.559759593604141514e+00
8.699999999999999956e-01,-4.937667969230418663e+01,-5.281637165435467551e+01,3.439691962050488883e+00,-5.044428922690440942e+01,-5.405103841942727882e+01,3.606749192522869407e+00
8.800000000000000044e-01,-5.077999498453738880e+01,-5.439830659915470790e+01,3.618311614617319094e+00,-5.193887168889089168e+01,-5.572010053087350201e+01,3.781228841982610334e+00
8.900000000000000133e-01,-5.220805353213127376e+01,-5.606351987755960664e+01,3.855466345428332886e+00,-5.346150186726577402e+01,-5.737044375506743421e+01,3.908941887801660187e+00
9.000000000000000222e-01,-5.365703710339200683e+01,-5.780012257718200885e+01,4.143085473790002027e+00,-5.501745573323473337e+01,-5.897888849360536767e+01,3.961432760370634298e+00
9.100000000000000311e-01,-5.513437855407571675e+01,-5.958583784622198465e+01,4.451459292146267899e+00,-5.662096154399241499e+01,-6.065265908423609176e+01,4.031697540243676769e+00
9.200000000000000400e-01,-5.664155113133753616e+01,-6.136416992399331605e+01,4.722618792655779885e+00,-5.826891344155905017e+01,-6.237391888313240429e+01,4.105005441573354119e+00
9.300000000000000488e-01,-5.819087943475631874e+01,-6.326885619291039831e+01,5.077976758154079562e+00,-5.995754146257088024e+01,-6.414547695558955809e+01,4.187935493018677846e+00
9.400000000000000577e-01,-5.977969480651315592e+01,-6.515028113363885609e+01,5.370586327125700166e+00,-6.170409019623922120e+01,-6.599821868226756294e+01,4.294128486028341740e+00
9.500000000000000666e-01,-6.140623437381115224e+01,-6.706626763675829750e+01,5.660033262947145261e+00,-6.348460813300916783e+01,-6.785091667851142461e+01,4.366308545502256777e+00
9.599999999999999645e-01,-6.307028238551591670e+01,-6.894612203882303447e+01,5.875839653307117771e+00,-6.531803329939005209e+01,-6.979414699463205807e+01,4.476113695242005974e+00
9.699999999999999734e-01,-6.477011343934735521e+01,-7.093753165236901737e+01,6.167418213021662154e+00,-6.718605814057353598e+01,-7.179143881137117944e+01,4.605380670797643461e+00
9.799999999999999822e-01,-6.648306406377768951e+01,-7.284755709802136892e+01,6.364493034243679404e+00,-6.906068397786357593e+01,-7.381980097186571754e+01,4.759116994002141610e+00
9.899999999999999911e-01,-6.816296719855513686e+01,-7.482204227954524356e+01,6.659075080990106699e+00,-7.085919461926270912e+01,-7.574112088195478520e+01,4.881926262692076079e+00
1.000000000000000000e+00,-6.981416256441970347e+01,-7.666119804452696940e+01,6.847035480107265926e+00,-7.260223040594205202e+01,-7.764667279116457621e+01,5.044442385222524194e+00
